Unnamed: 0,tweet_id,new_tweet_content,Label
0,1,"أنا جدا سعيدة اليوم","إيجابي"
1,2,"أنا جدا حزينة اليوم","سلبي"
2,3,"إنه يوم جميل","إيجابي"
3,4,"هذه تجربة رائعة","إيجابي"
4,5,"التجربة كانت سيئة جدا","سلبي"
5,6,"لا أنصح بهذا المكان","سلبي"
6,7,"الطقس جميل جدا","إيجابي"
7,8,"أنا مستاء من الخدمة","سلبي"
8,9,"أحببت الفلم كثيرا","إيجابي"
9,10,"أحب عملي","إيجابي"
10,11,"أنا منزعج من هذا الحال","سلبي"
11,12,"أنا مرتاح بهذا المكان","إيجابي"
12,13,"إنه مكان رائع","إيجابي"
13,14,"أستمتع في هذه الأجواء","إيجابي"
14,15,"أشعر بالغضب مما حصل","سلبي"
15,16,"الظروف التي نمر بها سيئة","سلبي"
16,17,"لعل الايام تحمل لنا شيئا جميلا","إيجابي"
17,18,"أنا متعبة من العمل","سلبي"
18,19,"أشعر بالملل","سلبي"
19,20,"انا لا ابالي لشئ","سلبي"
20,21,"أنا مستاء","سلبي"
21,22,"أنا متفائلة جدا","إيجابي"